DatGeracaoConjuntoDados;IdeOnsSbe;SglTipAnj;DscTipAnj;IdeMdl;IdeTipMdl;IdeTipAnj;IdeSbe;IdcPrtMdlGrl;NomSubestacao;NomLongoSubestacao;SigUFSubestacao;NumOprMdl;NomMdl;IdcSitMdl;NumTnsMdl
2026-04-27;MGMTUM;DJM;Disjuntor e Meio;40618;1;2;3287;1;MUTUM;SUB MUTUM;MG;MG3;MG 500 kV MUTUM MG3 MG;3;500,00
2026-04-27;RJSTRS;DJM;Disjuntor e Meio;40654;1;2;1336;2;RESENDE;SUB RESENDE    RJ;RJ;MG1;MG 500 kV RESENDE MG1 RJ;3;500,00
2026-04-27;SPFDI;DJM;Disjuntor e Meio;40656;1;2;3201;2;FERNAO DIAS;SUB FERNAO DIAS SP;SP;MG5;MG 500 kV FERNAO DIAS MG5 SP;3;500,00
2026-04-27;PRGR;BD4;Barra Dupla a Quatro Chaves;40662;1;4;3312;1;PONTA GROSSA;SUB PONTA GROSSA PR;PR;MG4;MG 230 kV PONTA GROSSA MG4 PR;3;230,00
2026-04-27;PRCNT;BD4;Barra Dupla a Quatro Chaves;40663;1;4;3316;1;CASTRO NORTE;SUB CASTRO NORTE PR;PR;MG2;MG 230 kV CASTRO NORTE MG2 PR;3;230,00
2026-04-27;MABAC;DJM;Disjuntor e Meio;40664;1;2;3255;2;BACABEIRA;SUB BACABEIRA MA;MA;MG2;MG 500 kV BACABEIRA MG2 MA;3;500,00
2026-04-27;CEMAU;BD4;Barra Dupla a Quatro Chaves;40665;1;4;3177;0;MARACANAU;SUB MARACANAU CE;CE;MG2;MG 230 kV MARACANAU MG2 CE;3;230,00
2026-04-27;MTPRTA;BPT;Barra Principal e Transferência;40673;1;1;4440;;PRATA;PRATA;MT;MG1;MG 138 kV PRATA MG1 MT;3;138,00
2026-04-27;SPBPER;BPT;Barra Principal e Transferência;40674;1;1;4428;;BRANCO PERES;SUB BRANCO PERES SP;SP;MG1;MG 138 kV BRANCO PERES MG1 SP;3;138,00
2026-04-27;;BD4;Barra Dupla a Quatro Chaves;40675;1;4;3339;;FEIRA DE SANTANA III;SUB FEIRA DE SANTANA III;BA;MG2;MG 230 kV FEIRA DE SANTANA III MG2 BA;3;230,00
2026-04-27;RSCAL2;BD4;Barra Dupla a Quatro Chaves;40676;1;4;3342;;CRUZ ALTA 2;SUB CRUZ ALTA 2;RS;MG2;MG 230 kV CRUZ ALTA 2 MG2 RS;3;230,00
2026-04-27;PBJPII;BD4;Barra Dupla a Quatro Chaves;40677;1;4;3330;2;JOAO PESSOA II;SUB JOAO PESSOA II PB;PB;MG2;MG 230 kV JOAO PESSOA II MG2 PB;3;230,00
2026-04-27;;DJM;Disjuntor e Meio;40681;1;2;4441;2;SANTO A. DOS LOPES;SANTO ANTONIO DOS LOPES;MA;MG1;MG 500 kV SANTO A. DOS LOPES MG1 MA;3;500,00
2026-04-27;SPCST3;BD4;Barra Dupla a Quatro Chaves;40687;1;4;2046;1;CASTILHO 3;SUB CASTILHO 3     SP;SP;MG1;MG 138 kV CASTILHO 3 MG1 SP;3;138,00
2026-04-27;SPPED ;BD4;Barra Dupla a Quatro Chaves;40688;1;4;4430;1;PEDRANOPOLIS;USI PEDRANOPOLIS SP;SP;MG1;MG 138 kV PEDRANOPOLIS MG1 SP;3;138,00
2026-04-27;RNACT;BD4;Barra Dupla a Quatro Chaves;40689;1;4;3150;1;ACU III;SUB ACU III RN;RN;MG8;MG 230 kV ACU III MG8 RN;3;230,00
2026-04-27;MGJMO4;BD4;Barra Dupla a Quatro Chaves;40690;1;4;3239;1;J.MONLEVADE 4;SUB JOAO MONLEVADE 4 MG;MG;MG2;MG 230 kV J.MONLEVADE 4 MG2 MG;3;230,00
2026-04-27;RJSTBF;DJM;Disjuntor e Meio;40705;1;2;4442;;B. FLUMINENSE;SUB B. FLUMINENSE;RJ;MG1;MG 500 kV B. FLUMINENSE MG1 RJ;0;500,00
2026-04-27;MGHVAL;DJM;Disjuntor e Meio;40728;1;2;4444;;VARZEA PALMA 4;SUB VARZEA DA PALMA 4 MG;MG;MG1;MG 345 kV VARZEA PALMA 4 MG1 MG;3;345,00
2026-04-27;RSIJU2;;;40977;1;;2926;;IJUI 2;SUB IJUI 2  RS;RS;MG2;MG 230 kV IJUI 2 MG2 RS;3;230,00
2026-04-27;RSVIA3;;;40978;1;;3042;;VIAMAO 3;SUB VIAMAO 3    RS;RS;MG2;MG 230 kV VIAMAO 3 MG2 RS;3;230,00
2026-04-27;GOUCD;;;40979;1;;297;;C. DOURADA;USI CACHOEIRA  DOURADA    GO;GO;MG2;MG 230 kV C. DOURADA MG2 GO;3;230,00
2026-04-27;SPCOA2;;;40986;1;;3054;;COCAL II;SUB COCAL II ELEKTRO SP;SP;MG1;MG 138 kV COCAL II MG1 SP;3;138,00
2026-04-27;SPPCB;;;40987;1;;3146;;PIRACICABA;SUB PIRACICABA SP;SP;MG2;MG 440 kV PIRACICABA MG2 SP;3;440,00
2026-04-27;SPQUA2;;;40988;1;;2939;;QUATA;SUB QUATA SP;SP;MG1;MG 88 kV QUATA MG1 SP;3;88,00
2026-04-27;SPAZL;;;40989;1;;3252;;AGUA AZUL;SUB AGUA AZUL SP;SP;MG3;MG 440 kV AGUA AZUL MG3 SP;3;440,00
2026-04-27;CETIA;;;40998;1;;3257;;TIANGUA II;TIANGUA II CE;CE;MG4;MG 500 kV TIANGUA II MG4 CE;3;500,00
2026-04-27;BAOUR;;;40999;1;;3224;;OUROLANDIA II;SE OUROLANDIA II BA;BA;MG3;MG 230 kV OUROLANDIA II MG3 BA;3;230,00
2026-04-27;PEGRD;;;41000;1;;3112;;GARANHUNS II;SUB GARANHUNS  PE;PE;MG2;MG 500 kV GARANHUNS II MG2 PE;3;500,00
2026-04-27;RJSTNV;;;41604;1;;3111;1;NOVA IGUACU;SUB NOVA IGUACU  RJ;RJ;MG3;MG 500 kV NOVA IGUACU MG3 RJ;3;500,00
2026-04-27;SPUNI;;;41605;1;;3159;0;UNIVALEM;SUB UNIVALEM SP;SP;MG1;MG 138 kV UNIVALEM MG1 SP;3;138,00
2026-04-27;MGAISE;BD4;Barra Dupla a Quatro Chaves;41718;1;4;344;;AIMORES-SE;SUB AIMORES-SE    MG;MG;MG2;MG 230 kV AIMORES-SE MG2 MG;3;230,00
2026-04-27;MGJMON;ANEL;Anel;41726;1;5;478;;J.MONLEVADE 2;SUB JOAO  MONLEVADE 2   MG;MG;MG1;MG 230 kV J.MONLEVADE 2 MG1 MG;3;230,00
2026-04-27;MGNERA;BS;Barra Simples;41741;1;3;589;;NOVA ERA 2;SUB NOVA ERA 2    MG;MG;MG1;MG 230 kV NOVA ERA 2 MG1 MG;3;230,00
2026-04-27;ESMASC;BD4;Barra Dupla a Quatro Chaves;41748;1;4;203;;U.MASCARENHAS;USI MASCARENHAS   ES;ES;MG2;MG 230 kV U.MASCARENHAS MG2 ES;3;230,00
2026-04-27;RSGRA2;BD5;Barra Dupla a Cinco Chaves;41768;1;6;1513;;GRAVATAI 2;SUB GRAVATAI 2 RS;RS;MG2;MG 230 kV GRAVATAI 2 MG2 RS;3;230,00
2026-04-27;MSMIM;BPT;Barra Principal e Transferência;41785;1;1;767;;U.MIMOSO;USI MIMOSO     MS;MS;MG1;MG 138 kV U.MIMOSO MG1 MS;3;138,00
2026-04-27;SPACD;BS;Barra Simples;41853;1;3;3085;;ALCIDIA;SUB ALCIDIA SP;SP;MG1;MG 138 kV ALCIDIA MG1 SP;3;138,00
2026-04-27;SPSEBL;BPT;Barra Principal e Transferência;41866;1;1;2940;;BALDIN;SUB BALDIN SP;SP;MG1;MG 138 kV BALDIN MG1 SP;3;138,00
2026-04-27;SPBIO;BS;Barra Simples;41907;1;3;2924;;BIOPAV;SUB BIOPAV SP;SP;MG1;MG 138 kV BIOPAV MG1 SP;3;138,00
2026-04-27;SPDMA;BS;Barra Simples;41926;1;3;3086;;DA MATA;SUB DA MATA SP;SP;MG1;MG 138 kV DA MATA MG1 SP;3;138,00
2026-04-27;SPFRI;BS;Barra Simples;41933;1;3;3104;;FERRARI;SUB FERRARI SP;SP;MG1;MG 138 kV FERRARI MG1 SP;3;138,00
2026-04-27;SPIPA;BS;Barra Simples;41934;1;3;3078;;IPAUSSU;USI UTE IPAUSSU   SP;SP;MG1;MG 138 kV IPAUSSU MG1 SP;3;138,00
2026-04-27;SPSAJ3;BS;Barra Simples;41973;1;3;2941;;SAO JOAO;SUB SÃO JOÃO ABENGOA SP;SP;MG1;MG 138 kV SAO JOAO MG1 SP;3;138,00
2026-04-27;SPSAL2;BS;Barra Simples;41974;1;3;2942;;SAO LUIZ;SUB SÃO LUIZ (ABENGOA) SP;SP;MG1;MG 138 kV SAO LUIZ MG1 SP;3;138,00
2026-04-27;PRADA2;BD4;Barra Dupla a Quatro Chaves;42272;1;4;3262;;ANDIRA LESTE;SE ANDIRA LESTE;PR;MG2;MG 230 kV ANDIRA LESTE MG2 PR;3;230,00
2026-04-27;MACXD;BD4;Barra Dupla a Quatro Chaves;42273;1;4;3301;;CAXIAS II;SUB CAXIAS II MA;MA;MG2;MG 230 kV CAXIAS II MG2 MA;3;230,00
2026-04-27;RJCPJ;DJM;Disjuntor e Meio;42274;1;2;4411;;COMPERJ;SUB COMPERJ RJ;RJ;MG2;MG 345 kV COMPERJ MG2 RJ;3;345,00
2026-04-27;SPGTA;BS;Barra Simples;42276;1;3;3190;;GUARANI TANABI;USI UTE GUARANI TANABI SP;SP;MG1;MG 138 kV GUARANI TANABI MG1 SP;3;138,00
2026-04-27;SPGUI1;BS;Barra Simples;42277;1;3;3321;;GUARIROBA;GUARIROBA;SP;MG1;MG 138 kV GUARIROBA MG1 SP;3;138,00
2026-04-27;SPSTTB;BD4;Barra Dupla a Quatro Chaves;42278;1;4;2859;;ITATIBA;SUB ITATIBA    SP;SP;MG3;MG 500 kV ITATIBA MG3 SP;3;500,00
2026-04-27;BAJRB;DJM;Disjuntor e Meio;42279;1;2;4487;;JEREMOABO;JEREMOABO;BA;MG1;MG 500 kV JEREMOABO MG1 BA;3;500,00
2026-04-27;PELAGC;BD4;Barra Dupla a Quatro Chaves;42282;1;4;3311;;LAGOA DO CARRO;SUB LAGOA DO CARRO PE;PE;MG2;MG 230 kV LAGOA DO CARRO MG2 PE;3;230,00
2026-04-27;MTSLRV;BD4;Barra Dupla a Quatro Chaves;42284;1;4;3005;;LUCAS RIO VERDE;SUB LUCAS DO RIO VERDE    MT;MT;MG1;MG 230 kV LUCAS RIO VERDE MG1 MT;3;230,00
2026-04-27;SPMRR;DJM;Disjuntor e Meio;42285;1;2;3168;;MARECHAL RONDON;SUB MARECHAL RONDON MS;MS;MG2;MG 440 kV MARECHAL RONDON MG2 MS;3;440,00
2026-04-27;PAMTUB;BD4;Barra Dupla a Quatro Chaves;42286;1;4;3281;;MARITUBA;SUB MARITUBA PA;PA;MG2;MG 230 kV MARITUBA MG2 PA;3;230,00
2026-04-27;MGPDF;BD4;Barra Dupla a Quatro Chaves;42287;1;4;2921;;PADRE FIALHO;SUB PADRE FIALHO     MG;MG;MG2;MG 345 kV PADRE FIALHO MG2 MG;3;345,00
2026-04-27;SPPIO2;BD4;Barra Dupla a Quatro Chaves;42288;1;4;3191;;PIONEIROS 2;USI UTE PIONEIROS 2 SP;SP;MG1;MG 138 kV PIONEIROS 2 MG1 SP;3;138,00
2026-04-27;SPRIC2;BD4;Barra Dupla a Quatro Chaves;42294;1;4;2424;;RIO CLARO 2;SUB RIO CLARO 2  ;GO;MG2;MG 230 kV RIO CLARO 2 MG2 GO;3;230,00
2026-04-27;SPRIV;BD4;Barra Dupla a Quatro Chaves;42295;1;4;3184;;RIO VERMELHO;SUB RIO VERMELHO SP;SP;MG1;MG 138 kV RIO VERMELHO MG1 SP;3;138,00
2026-04-27;;BS;Barra Simples;42296;1;3;4488;;SAO TADEU;SAO TADEU;MT;MG1;MG 138 kV SAO TADEU MG1 MT;3;138,00
2026-04-27;MGSAR;DJM;Disjuntor e Meio;42297;1;2;3263;;SARZEDO;SE SARZEDO;MG;MG2;MG 345 kV SARZEDO MG2 MG;3;345,00
2026-04-27;SPTEC;BD4;Barra Dupla a Quatro Chaves;42298;1;4;3326;;SE TERMOVERDE CAIEIRAS;SUB TERMOVERDE CAIEIRAS SP;SP;MG1;MG 138 kV SE TERMOVERDE CAIEIRAS MG1 SP;3;138,00
2026-04-27;MTMTSR;BD4;Barra Dupla a Quatro Chaves;42301;1;4;4414;;SORRISO II;SUB SORRISO II     MT;MT;MG1;MG 230 kV SORRISO II MG1 MT;3;230,00
2026-04-27;MSELDO;BS;Barra Simples;42307;1;3;2996;;UTE ELDORADO BR CEL;USI UTE ELDORADO BRASIL CELULOSE MS;MS;MG1;MG 138 kV UTE ELDORADO BR CEL MG1 MS;3;138,00
2026-04-27;RSGUA3;DJM;Disjuntor e Meio;42516;1;2;3231;1;GUAIBA 3;SE GUAIBA 3 RS;RS;MG3;MG 525 kV GUAIBA 3 MG3 RS;3;525,00
2026-04-27;RSMBR3;BD4;Barra Dupla a Quatro Chaves;42521;1;4;3230;0;MACAMBARA 3;SE MACAMBARA 3 RS;RS;MG2;MG 230 kV MACAMBARA 3 MG2 RS;3;230,00
2026-04-27;MSDOU2;BD4;Barra Dupla a Quatro Chaves;42527;1;4;3305;0;DOURADOS 2;SUB DOURADOS 2 MS;MS;MG2;MG 230 kV DOURADOS 2 MG2 MS;3;230,00
2026-04-27;PRIRN;BD4;Barra Dupla a Quatro Chaves;42528;1;4;3314;1;IRATI NORTE;SUB IRATI NORTE PR;PR;MG2;MG 230 kV IRATI NORTE MG2 PR;3;230,00
2026-04-27;GOSILN;DJM;Disjuntor e Meio;42529;1;2;3397;1;SILVANIA;SUB SILVANIA GO;GO;MG2;MG 500 kV SILVANIA MG2 GO;3;500,00
2026-04-27;RSVMA;BD4;Barra Dupla a Quatro Chaves;42534;1;4;3228;1;VILA MARIA;SE VILA MARIA RS;RS;MG2;MG 230 kV VILA MARIA MG2 RS;3;230,00
2026-04-27;MSDOU;;;42535;1;;759;;DOURADOS;SUB DOURADOS    MS;MS;MG2;MG 230 kV DOURADOS MG2 MS;3;230,00
2026-04-27;MGUSIM;;;42536;1;;715;;ITUMBIARA;USI ITUMBIARA     MG;MG;MG2;MG 500 kV ITUMBIARA MG2 MG;3;500,00
2026-04-27;MGUSIM;;;42537;1;;715;;ITUMBIARA;USI ITUMBIARA     MG;MG;MG3;MG 500 kV ITUMBIARA MG3 MG;3;500,00
2026-04-27;MGUSIM;;;42538;1;;715;;ITUMBIARA;USI ITUMBIARA     MG;MG;MG4;MG 500 kV ITUMBIARA MG4 MG;3;500,00
2026-04-27;MGUSMR;;;42539;1;;718;;MARIMBONDO;USI MARIMBONDO    MG;MG;MG2;MG 500 kV MARIMBONDO MG2 MG;3;500,00
2026-04-27;MTBP;;;42540;1;;793;;BARRA PEIXE;SUB BARRA DO PEIXE   MT;MT;MG2;MG 230 kV BARRA PEIXE MG2 MT;3;230,00
2026-04-27;GOSME2;;;42541;1;;285;;SERRA MESA 2;SUB SERRA DA MESA 2    GO;GO;MG3;MG 500 kV SERRA MESA 2 MG3 GO;3;500,00
2026-04-27;MGBDE3;;;42542;1;;362;;B.DESPACHO 3;SUB BOM DESPACHO 3   MG;MG;MG2;MG 500 kV B.DESPACHO 3 MG2 MG;3;500,00
2026-04-27;MGNPON;;;42543;1;;597;;NOVA PONTE;USI NOVA PONTE    MG;MG;MG3;MG 500 kV NOVA PONTE MG3 MG;3;500,00
2026-04-27;MGSGOT;;;42544;1;;658;;SAO GOTARDO 2;SUB SAO GOTARDO 2    MG;MG;MG3;MG 500 kV SAO GOTARDO 2 MG3 MG;3;500,00
2026-04-27;SPILS;;;42545;1;;2161;;ILHA SOLTEIRA;USI ILHA SOLTEIRA    SP;SP;MG2;MG 440 kV ILHA SOLTEIRA MG2 SP;3;440,00
2026-04-27;MTCB;;;42546;1;;800;;CUIABA;SUB CUIABA     MT;MT;MG4;MG 500 kV CUIABA MG4 MT;3;500,00
2026-04-27;MTRB;;;42547;1;;836;;RIBEIRAOZINHO;SUB RIBEIRAOZINHO    MT;MT;MG5;MG 500 kV RIBEIRAOZINHO MG5 MT;3;500,00
2026-04-27;RSMBR3;BD4;Barra Dupla a Quatro Chaves;42555;1;4;3230;1;MACAMBARA 3;SE MACAMBARA 3 RS;RS;MG3;MG 230 kV MACAMBARA 3 MG3 RS;3;230,00
2026-04-27;MGBET;DJM;Disjuntor e Meio;42712;1;2;3265;1;BETIM 6;SUB BETIM 6 MG;MG;MG2;MG 345 kV BETIM 6 MG2 MG;3;345,00
2026-04-27;MGBRAU;BD4;Barra Dupla a Quatro Chaves;42713;1;4;3269;0;BRAUNAS;SUB BRAUNAS MG;MG;MG2;MG 230 kV BRAUNAS MG2 MG;3;230,00
2026-04-27;BAZBU;BPT;Barra Principal e Transferência;42715;1;1;4475;;ZEBU II;SUB ZEBU II;AL;MG2;MG 69 kV ZEBU II MG2 AL;3;69,00
2026-04-27;RSCAC3;BD4;Barra Dupla a Quatro Chaves;42716;1;4;4398;1;CACHOEIRINHA 3;SUB CACHOEIRINHA 3 RS;RS;MG2;MG 230 kV CACHOEIRINHA 3 MG2 RS;3;230,00
2026-04-27;SPSTGA;BD3;Barra Dupla a três Chaves;42762;1;7;2534;;GUARULHOS;SUB GUARULHOS     SP;SP;MG2;MG 345 kV GUARULHOS MG2 SP;3;345,00
2026-04-27;MGEMBO;;;43392;1;;427;;EMBORCACAO;USI EMBORCACAO    MG;MG;MG3;MG 500 kV EMBORCACAO MG3 MG;3;500,00
2026-04-27;MGUSIM;;;43393;1;;715;;ITUMBIARA;USI ITUMBIARA     MG;MG;MG5;MG 500 kV ITUMBIARA MG5 MG;3;500,00
2026-04-27;PIRGO;;;43394;1;;998;;RIB.GONCALVES;SUB RIBEIRO GONCALVES   PI;PI;MG3;MG 500 kV RIB.GONCALVES MG3 PI;3;500,00
2026-04-27;SPINT;;;43395;1;;2167;;INTERLAGOS;SUB INTERLAGOS    SP;SP;MG2;MG 345 kV INTERLAGOS MG2 SP;3;345,00
2026-04-27;MGOPR2;;;43396;1;;600;;OURO PRETO 2;SUB OURO PRETO 2     MG;MG;MG3;MG 500 kV OURO PRETO 2 MG3 MG;3;500,00
2026-04-27;MTCB;;;43397;1;;800;;CUIABA;SUB CUIABA     MT;MT;MG5;MG 500 kV CUIABA MG5 MT;3;500,00
2026-04-27;PRCVO ;;;43398;1;;1047;;CASCAVEL OEST;SUB CASCAVEL OESTE   PR;PR;MG5;MG 500 kV CASCAVEL OEST MG5 PR;3;500,00
2026-04-27;ESSTAE;;;43403;1;;221;;VIANA;SUB VIANA    ES;ES;MG3;MG 345 kV VIANA MG3 ES;3;345,00
2026-04-27;GOID;;;43406;1;;257;;R.VERDE NORTE;SUB RIO VERDE NORTE    GO;GO;MG5;MG 500 kV R.VERDE NORTE MG5 GO;3;500,00
2026-04-27;AMCRR;;;43407;1;;2798;;LECHUGA;SUB LECHUGA (MANAUS) AM;AM;MG4;MG 500 kV LECHUGA MG4 AM;3;500,00
2026-04-27;PBCGT;;;43408;1;;3090;;C.GRANDE III;SUB CAMPINA GRANDE III  PB;PB;MG4;MG 500 kV C.GRANDE III MG4 PB;3;500,00
2026-04-27;MASLT;;;43409;1;;4470;;SANTA LUZIA III;SUB SANTA LUZIA III MA;MA;MG2;MG 500 kV SANTA LUZIA III MG2 MA;3;500,00
2026-04-27;MGITB5;DJM;Disjuntor e Meio;43589;1;2;3268;1;ITABIRA 5;SE ITABIRA 5;MG;MG4;MG 500 kV ITABIRA 5 MG4 MG;3;500,00
2026-04-27;PRIVP;DJM;Disjuntor e Meio;43696;1;2;1078;;IVAIPORA;SUB IVAIPORA  (ELETROSUL) PR;PR;MG3;MG 525 kV IVAIPORA MG3 PR;3;525,00
2026-04-27;SPTAU;;;43762;1;;2550;;TAUBATE;SUB TAUBATE    SP;SP;MG2;MG 500 kV TAUBATE MG2 SP;3;500,00
2026-04-27;PRRZS;;;43763;1;;3205;;REALEZA;SUB REALEZA PR;PR;MG2;MG 230 kV REALEZA MG2 PR;3;230,00
2026-04-27;PRUBR;;;43764;1;;1154;;UBERABA;SUB UBERABA    PR;PR;MG2;MG 230 kV UBERABA MG2 PR;3;230,00
2026-04-27;CEPCT;DJM;Disjuntor e Meio;44018;1;2;3336;2;PACATUBA;SUB PACATUBA;CE;MG4;MG 500 kV PACATUBA MG4 CE;3;500,00
2026-04-27;MSPAS22;BD4;Barra Dupla a Quatro Chaves;44019;1;4;3225;1;PARAISO 2;SUB PARAISO 2 MS;MS;MG2;MG 230 kV PARAISO 2 MG2 MS;3;230,00
2026-04-27;ACTC;BD4;Barra Dupla a Quatro Chaves;44020;1;4;3380;;TUCUMA;SUB TUCUMA AC;AC;MG2;MG 230 kV TUCUMA MG2 AC;3;230,00
2026-04-27;;BD4;Barra Dupla a Quatro Chaves;44021;1;4;3315;;GUARAPUAVA OESTE;SUB GUARAPUAVA OESTE PR;PR;MG2;MG 230 kV GUARAPUAVA OESTE MG2 PR;3;230,00
2026-04-27;MGVGAQ;DJM;Disjuntor e Meio;44022;1;2;3266;;VARGINHA 4;SUB VARGINHA 4 MG;MG;MG2;MG 345 kV VARGINHA 4 MG2 MG;3;345,00
2026-04-27;RSCXN;DJM;Disjuntor e Meio;44023;1;2;3368;;CAXIAS NORTE;SUB CAXIAS NORTE RS;RS;MG2;MG 525 kV CAXIAS NORTE MG2 RS;3;525,00
2026-04-27;SCGAS22;DJM;Disjuntor e Meio;44024;1;2;3118;;GASPAR 2;SUB GASPAR 2 SC;SC;MG2;MG 525 kV GASPAR 2 MG2 SC;3;525,00
2026-04-27;MSIVI2;BD4;Barra Dupla a Quatro Chaves;44025;1;4;765;;IVINHEMA 2;SUB IVINHEMA 2    MS;MS;MG1;MG 138 kV IVINHEMA 2 MG1 MS;3;138,00
2026-04-27;RSCDL2;BD4;Barra Dupla a Quatro Chaves;44026;1;4;3088;;CANDELARIA 2;SUB CANDELARIA 2 RS;RS;MG2;MG 230 kV CANDELARIA 2 MG2 RS;3;230,00
2026-04-27;RSCHR3;BD4;Barra Dupla a Quatro Chaves;44027;1;4;4406;;CHARQUEADAS 3;SUB CHARQUEADAS 3 RS;RS;MG2;MG 230 kV CHARQUEADAS 3 MG2 RS;3;230,00
2026-04-27;SPCTR;BD3;Barra Dupla a três Chaves;44036;1;7;2048;;CENTRO-CTR;SUB CENTRO-CTR    SP;SP;FICT1;MG 230 kV CENTRO-CTR FICT1 SP;3;230,00
2026-04-27;PAON;;;44094;1;;3186;;ONCA PUMA;SUB MINERAÇÃO ONÇA PUMA PA;PA;MG FIC1;MG 230 kV ONCA PUMA MG FIC1 PA;0;230,00
2026-04-27;PAON;;;44097;1;;3186;;ONCA PUMA;SUB MINERAÇÃO ONÇA PUMA PA;PA;MG FIC2;MG 230 kV ONCA PUMA MG FIC2 PA;0;230,00
2026-04-27;SCJGSL;;;44389;1;;3352;;JARAGUA DO SUL;SUB JARAGUA DO SUL;SC;MG2;MG 230 kV JARAGUA DO SUL MG2 SC;3;230,00
2026-04-27;MSMIM2;;;44411;1;;4476;;MIMOSO 2;SE MIMOSO 2;MS;MG1;MG 138 kV MIMOSO 2 MG1 MS;3;138,00
2026-04-27;MGMAM2;;;44412;1;;3371;;MONTE ALEGRE2;SUB MONTE ALEGRE DE MINAS 2 MG;MG;MG2;MG 345 kV MONTE ALEGRE2 MG2 MG;3;345,00
2026-04-27;SPSUL;;;44413;1;;2539;;SUL;SUB SUL     SP;SP;MG2;MG 345 kV SUL MG2 SP;3;345,00
2026-04-27;RSCXN;;;44414;1;;3368;;CAXIAS NORTE;SUB CAXIAS NORTE RS;RS;MG3;MG 230 kV CAXIAS NORTE MG3 RS;3;230,00
2026-04-27;RSCTA2;;;44415;1;;3232;;CANDIOTA 2;SE CANDIOTA 2 RS;RS;MG2;MG 230 kV CANDIOTA 2 MG2 RS;3;230,00
2026-04-27;MGNP3;;;44416;1;;4432;;NOVA PONTE 3;SUB NOVA PONTE 3 MG;MG;MG4;MG 500 kV NOVA PONTE 3 MG4 MG;3;500,00
2026-04-27;MSRBE;BD4;Barra Dupla a Quatro Chaves;44417;1;4;2852;;RIO BRILHANTE;SUB RIO BRILHANTE  MS;MS;MG2;MG 230 kV RIO BRILHANTE MG2 MS;3;230,00
2026-04-27;SPDMR;;;44420;1;;3204;;DOMENICO RANGONI;SUB DOMÊNICO RANGONI SP;SP;MG2;MG 345 kV DOMENICO RANGONI MG2 SP;3;345,00
2026-04-27;;;;44433;1;;4535;;SERRA NORTE;SUB SERRA NORTE PA;PA;MG1;MG 230 kV SERRA NORTE MG1 PA;3;230,00
